id,admissions,entry_gender,perc_free_meals,perc_girls,perc_sec_lang,avg_score
120,comprehensive,mixed,5.3,56.1,6.5,58.2
121,comprehensive,mixed,5.1,53.9,1.6,56.6
122,comprehensive,mixed,16.3,48.7,2,45.2
123,comprehensive,mixed,26.1,10.2,12.6,20.1
124,comprehensive,mixed,29.2,51.9,77,49
125,comprehensive,mixed,11,48.4,27.9,49.5
126,comprehensive,mixed,33.4,48.5,29.9,34.7
127,comprehensive,mixed,36.6,51.5,83.2,45.7
128,comprehensive,mixed,21.4,48.2,69.6,46
129,comprehensive,mixed,18.7,48.1,10.2,44.2
130,comprehensive,mixed,6.9,48.3,2.8,52.6
131,comprehensive,mixed,30.9,48.2,47.3,40.3
132,comprehensive,mixed,20.4,50.1,2.7,47.4
133,comprehensive,mixed,15.9,54.1,23.9,47.3
134,comprehensive,mixed,6.4,50.2,2.2,52.4
135,comprehensive,mixed,8.1,47.9,1.7,54.5
136,comprehensive,mixed,9.3,51.1,11.7,51.5
137,comprehensive,mixed,24.4,47.7,2.7,36.2
138,comprehensive,mixed,22.9,45.7,2.4,48.2
139,comprehensive,mixed,5.9,51.2,1.3,53.2
140,comprehensive,mixed,20.2,48.8,1.6,51.5
141,comprehensive,mixed,14.2,50.6,2.5,44.7
142,comprehensive,mixed,14.5,52.4,2,48.6
143,comprehensive,mixed,10.9,52,2.9,52.9
144,comprehensive,mixed,15.7,50,15.1,48.1
145,comprehensive,mixed,4.2,11.9,7.1,48.9
146,comprehensive,mixed,7.7,46.4,4.3,52
147,comprehensive,mixed,7.9,49.3,1.2,49.1
148,comprehensive,mixed,9.6,51.1,8.8,45.1
149,comprehensive,mixed,11.3,43.4,1.9,46.7
150,comprehensive,mixed,9.9,46.9,4.9,41.4
151,comprehensive,mixed,9.4,47.4,10.7,50.2
152,comprehensive,mixed,15.4,54.6,7.2,45.9
153,comprehensive,mixed,11.4,46.3,4.5,48.9
154,comprehensive,mixed,6.4,46.9,2.8,48.6
155,comprehensive,mixed,16.1,49.4,7.5,45.8
156,comprehensive,mixed,2.9,51.3,5,54.6
157,comprehensive,mixed,12.7,51.1,7.4,41.9
158,comprehensive,mixed,7.5,48.9,1.8,45.4
159,comprehensive,mixed,25.4,52.1,1.9,48.5
160,comprehensive,mixed,13.2,52.9,7.5,51.5
161,comprehensive,mixed,11.5,52.4,6.8,48.4
162,comprehensive,mixed,8.1,49,1.9,51.8
163,comprehensive,mixed,26.8,46,4,43.6
164,comprehensive,mixed,11.9,51.2,5.1,54.5
165,comprehensive,mixed,7.8,50.8,2.3,53.1
166,comprehensive,mixed,29.3,49.4,2,39.8
167,comprehensive,mixed,11.3,48.7,1.9,51.2
168,comprehensive,mixed,13.7,50.9,2.7,50.1
169,comprehensive,mixed,8.9,48.5,1.9,49.7
170,comprehensive,mixed,12.8,51,7.8,50.7
171,comprehensive,mixed,14.6,48.7,1.6,50.4
172,comprehensive,mixed,13.9,48.4,4.7,47
173,comprehensive,mixed,12.7,47.5,2.7,50.5
174,comprehensive,mixed,8.1,52.5,1.9,55.7
175,comprehensive,mixed,8.9,47.6,2.6,53.6
176,comprehensive,mixed,22.1,47,4,45.5
177,comprehensive,mixed,6,37.9,13.2,55.3
178,comprehensive,boys,5,0,12.1,52.3
179,comprehensive,girls,7,100,15,51.5
180,comprehensive,mixed,8.2,52.7,7.7,48.6
181,comprehensive,mixed,3.3,50.4,0.9,57.2
182,comprehensive,mixed,8.9,48.7,2.7,50.7
183,comprehensive,mixed,7.4,48.8,4.3,54.5
184,comprehensive,mixed,8.9,51.9,9.3,51.8
185,comprehensive,mixed,19.8,45.8,7,41
186,comprehensive,mixed,5.6,49.6,3.2,50.9
187,comprehensive,mixed,5.7,48.1,3.1,52.3
188,comprehensive,mixed,8.4,47.4,1.8,49.9
189,comprehensive,mixed,6.4,49.9,2.9,50.4
190,comprehensive,mixed,10.3,45.5,4.2,51.6
191,comprehensive,mixed,20.6,35.2,3.7,22.4
192,comprehensive,mixed,3.9,54.4,10.9,59.5
193,comprehensive,mixed,8.6,52.1,1.4,47
194,comprehensive,mixed,8.3,52.2,0.6,52.3
195,comprehensive,mixed,8,45,9,49.5
196,comprehensive,mixed,5.7,48.8,0.9,49
197,comprehensive,mixed,20.9,48.3,6.9,48.6
198,comprehensive,mixed,17.6,50.9,3.1,44.6
199,comprehensive,mixed,51.4,41.6,44.2,45.6
200,comprehensive,boys,20.6,0,40.3,54.4
201,comprehensive,girls,38.4,100,46,58.3
202,comprehensive,mixed,9.2,48.7,20.9,60.8
203,comprehensive,girls,22.1,100,57.3,49.9
204,comprehensive,mixed,18.5,50.4,52.9,57.4
205,comprehensive,mixed,17.2,42.2,32.5,56.4
206,comprehensive,girls,16.5,100,36.4,55.6
207,comprehensive,boys,21,0.4,35.7,56.8
208,comprehensive,mixed,49.5,40.9,77.2,54.8
209,comprehensive,boys,27,0,31.8,49.5
210,comprehensive,girls,21.6,88,37.1,53.7
211,comprehensive,mixed,39.1,16.9,69.4,49.8
212,comprehensive,girls,49.1,100,54.3,53.8
213,comprehensive,mixed,33.1,49.9,75.4,50.5
214,comprehensive,mixed,55.2,50.1,84.5,49.5
215,comprehensive,mixed,36.1,44.6,79.7,51.4
216,comprehensive,girls,43.7,100,91.1,54.8
217,comprehensive,mixed,35.8,55.3,60.1,51.1
218,comprehensive,mixed,49.7,47.8,26.2,41.3
219,comprehensive,mixed,51.6,46.8,79.6,51.8
220,comprehensive,mixed,39.6,44,76.4,53.8
221,comprehensive,boys,38.5,0.2,87.6,52.5
222,comprehensive,mixed,51.5,35.2,93.4,50.3
223,comprehensive,mixed,35.4,45.7,37.4,48.6
224,comprehensive,mixed,19.5,42.9,54.7,58.7
225,comprehensive,girls,15.5,98.8,59.7,52.1
226,comprehensive,mixed,13.1,46.3,38.2,52.1
227,comprehensive,boys,15.4,1.3,50.2,50.4
228,comprehensive,mixed,7.4,48.2,28.8,61.6
